"src_nl","tgt_sql"
"List all faculty members","SELECT * FROM faculty;"
"Show faculty full names and designations","SELECT first_name || ' ' || last_name AS full_name, designation FROM faculty;"
"List all active faculty members","SELECT * FROM faculty WHERE is_active = TRUE;"
"Find faculty who joined after 2020","SELECT * FROM faculty WHERE joining_date > '2020-01-01';"
"Get faculty with salary greater than 80000","SELECT * FROM faculty WHERE salary > 80000;"
"Show names of faculty and their departments","SELECT f.first_name, f.last_name, d.department_name FROM faculty f JOIN department d ON f.department_id = d.department_id;"
"Find total number of faculty in each department","SELECT d.department_name, COUNT(f.faculty_id) AS total_faculty FROM faculty f JOIN department d ON f.department_id = d.department_id GROUP BY d.department_name;"
"List faculty with highest salary in each department","SELECT d.department_name, f.first_name, f.last_name, f.salary FROM faculty f JOIN department d ON f.department_id = d.department_id WHERE f.salary = (SELECT MAX(f2.salary) FROM faculty f2 WHERE f2.department_id = f.department_id);"
"Get average salary of all faculty","SELECT AVG(salary) AS average_salary FROM faculty;"
"Show faculty who are not active","SELECT * FROM faculty WHERE is_active = FALSE;"
"Find faculty having qualification as PhD","SELECT * FROM faculty WHERE qualification ILIKE '%PhD%';"
"Show department-wise average salary","SELECT d.department_name, AVG(f.salary) AS avg_salary FROM faculty f JOIN department d ON f.department_id = d.department_id GROUP BY d.department_name;"
"List faculty teaching subjects along with subject names","SELECT f.first_name, f.last_name, s.subject_name FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id;"
"Find all faculty who teach semester 5 subjects","SELECT DISTINCT f.* FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id WHERE s.semester = 5;"
"Get count of faculty per qualification level","SELECT qualification, COUNT(*) AS count FROM faculty GROUP BY qualification;"
"Find faculty from Computer Science department","SELECT f.* FROM faculty f JOIN department d ON f.department_id = d.department_id WHERE d.department_name = 'Computer Science';"
"Update salary of a faculty named John Doe to 95000","UPDATE faculty SET salary = 95000 WHERE first_name = 'John' AND last_name = 'Doe';"
"Deactivate all faculty who joined before 2015","UPDATE faculty SET is_active = FALSE WHERE joining_date < '2015-01-01';"
"Delete a faculty record whose ID is 105","DELETE FROM faculty WHERE faculty_id = 105;"
"Insert a new faculty member record","INSERT INTO faculty (faculty_id, first_name, last_name, email, phone, designation, qualification, joining_date, department_id, salary, is_active) VALUES (201, 'Asha', 'Rao', 'asha.rao@example.com', '9876543210', 'Assistant Professor', 'M.Tech', '2023-07-01', 3, 72000, TRUE);"
"src_nl","tgt_sql"
"Get names and emails of all faculty sorted by last name","SELECT first_name, last_name, email FROM faculty ORDER BY last_name;"
"Show faculty who have salary between 50000 and 90000","SELECT * FROM faculty WHERE salary BETWEEN 50000 AND 90000;"
"List faculty who joined this year","SELECT * FROM faculty WHERE EXTRACT(YEAR FROM joining_date) = EXTRACT(YEAR FROM CURRENT_DATE);"
"Find faculty who have not provided phone numbers","SELECT * FROM faculty WHERE phone IS NULL OR phone = '';"
"List top 5 highest paid faculty","SELECT * FROM faculty ORDER BY salary DESC LIMIT 5;"
"Get department name and total active faculty count","SELECT d.department_name, COUNT(f.faculty_id) AS active_faculty FROM faculty f JOIN department d ON f.department_id = d.department_id WHERE f.is_active = TRUE GROUP BY d.department_name;"
"Find faculty who joined before department establishment","SELECT f.first_name, f.last_name, f.joining_date, d.established_date FROM faculty f JOIN department d ON f.department_id = d.department_id WHERE f.joining_date < d.established_date;"
"Get total salary expenditure for each department","SELECT d.department_name, SUM(f.salary) AS total_salary FROM faculty f JOIN department d ON f.department_id = d.department_id GROUP BY d.department_name;"
"Find faculty working in more than one course","SELECT f.first_name, f.last_name, COUNT(DISTINCT s.course_id) AS courses_handled FROM faculty f JOIN subject s ON f.faculty_id = s.faculty_id GROUP BY f.faculty_id, f.first_name, f.last_name HAVING COUNT(DISTINCT s.course_id) > 1;"
"Get faculty whose email domain is gmail","SELECT * FROM faculty WHERE email ILIKE '%@gmail.com';"
"List faculty who joined in June month","SELECT * FROM faculty WHERE EXTRACT(MONTH FROM joining_date) = 6;"
"Show the designation with maximum average salary","SELECT designation FROM faculty GROUP BY designation ORDER BY AVG(salary) DESC LIMIT 1;"
"Find departments having less than 3 active faculty","SELECT d.department_name FROM department d JOIN faculty f ON d.department_id = f.department_id WHERE f.is_active = TRUE GROUP BY d.department_name HAVING COUNT(f.faculty_id) < 3;"
"Get full details of the Head of Department","SELECT * FROM faculty f JOIN department d ON f.first_name || ' ' || f.last_name = d.hod_name;"
"Show all inactive faculty along with their department names","SELECT f.first_name, f.last_name, d.department_name FROM faculty f JOIN department d ON f.department_id = d.department_id WHERE f.is_active = FALSE;"
"List faculty earning above average salary","SELECT * FROM faculty WHERE salary > (SELECT AVG(salary) FROM faculty);"
